Tasks: 562 total,   1 running, 561 sleeping,   0 stopped,   0 zombie
  Mem:  3741312K total,  3586716K used,   154596K free,     6824K buffers
 Swap:  2097148K total,   400384K used,  1696764K free,  1534800K cached
800%cpu  21%user   0%nice  28%sys 748%idle   0%iow   3%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
22646 shell        20   0  12G 4.8M 3.8M R 13.7   0.1   0:00.06 top -b -n 1
21983 u0_a137      16  -4  17G 276M 146M S 13.7   7.5   1:27.73 com.example.metacam.debug
  815 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [pp_event]
  814 root         RT   0    0    0    0 S  0.0   0.0   2:43.79 [crtc_event:82]
  813 root         RT   0    0    0    0 S  0.0   0.0  12:22.56 [crtc_commit:82]
  812 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/97-arm-smmu]
  811 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/96-arm-smmu]
  809 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  808 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [jbd2/mmcblk0p6-]
  807 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_15]
  806 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_14]
  805 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_13]
  804 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_12]
  803 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_11]
  802 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_10]
  801 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_9]
  800 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_8]
  799 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_7]
  798 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_6]
  797 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_5]
  796 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_4]
  795 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_3]
  794 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_2]
  793 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_1]
  792 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rot_fenceq_0_0]
  791 root         -6   0    0    0    0 S  0.0   0.0   0:00.00 [rot_doneq_0_1]
  790 root         -6   0    0    0    0 S  0.0   0.0   0:00.00 [rot_doneq_0_0]
  789 root         -6   0    0    0    0 S  0.0   0.0   0:00.00 [rot_commitq_0_1]
  788 root         -6   0    0    0    0 S  0.0   0.0   0:00.00 [rot_commitq_0_0]
  787 root         20   0  12G 6.9M 6.9M S  0.0   0.1   0:02.77 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
  786 system       20   0  12G 4.3M 4.3M S  0.0   0.1   0:00.01 vendor.qti.hardware.qseecom@1.0-service
  785 system       20   0  12G 6.7M 6.7M S  0.0   0.1   0:00.11 android.hardware.security.keymint-service-qti
  784 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipa_usb_wq]
  783 system       20   0  13G 5.9M 5.9M S  0.0   0.1   0:00.06 qseecomd
  782 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_post_cmd_tx]
  781 root         RT   0    0    0    0 S  0.0   0.0  23:36.64 [kgsl_dispatcher]
  780 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kgsl_devfreq_wq]
  779 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/95-arm-smmu]
  778 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/63-arm-smmu]
  777 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/53-arm-smmu]
  776 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/51-arm-smmu]
  775 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kgsl-events]
  774 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kgsl-lockless-w]
  773 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/94-arm-smmu]
  772 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/93-arm-smmu]
  771 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kgsl-workqueue]
  770 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/92-arm-smmu]
  769 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cam_cci_wq]
  768 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cam_cci_wq]
  767 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipa_pm_activate]
  766 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [page_recycle_st]
  765 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [transport_power]
  764 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipa_power_mgmt]
  761 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-ope-cd]
  760 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-ope-cd]
  759 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-ope-cd]
  758 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-ope-cd]
  757 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-cpas-c]
  756 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-cpas-c]
  755 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-cpas-c]
  754 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam-cpas-c]
  752 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcom,cam_virtua]
  750 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cam-cpas]
  749 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/91-arm-smmu]
  748 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/90-arm-smmu]
  747 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/89-arm-smmu]
  742 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [byte-cntr]
  741 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/88-arm-smmu]
  736 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/87-arm-smmu]
  735 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [k_ipa_usb]
  734 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/86-arm-smmu]
  733 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/85-arm-smmu]
  732 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/84-arm-smmu]
  731 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/137-msm-vid]
  730 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [batch_workq]
  729 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pm_workq]
  728 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/207-ss_phy_]
  727 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/206-dm_hs_p]
  726 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/205-dp_hs_p]
  725 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/49-pwr_even]
  724 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pdr_notifier_wq]
  722 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/83-arm-smmu]
  721 root         20   0    0    0    0 S  0.0   0.0   0:00.83 [sdio_tx_tp_test]
  720 root         20   0    0    0    0 D  0.0   0.0   0:00.84 [sdio_tp_test_st]
  718 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [SDIO_RX_WORK_QU]
  717 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [SDIO_REG_WORK_Q]
  716 root         20   0    0    0    0 S  0.0   0.0   0:00.81 [stat_dump_threa]
  714 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [AR_RPC_RX_WORK_]
  713 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [OAL_RX_WORK_QUE]
  712 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [OAL_TX_WORK_QUE]
  711 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [OAL_MAIN_WORK_Q]
  710 system       20   0  12G 4.2M 4.0M S  0.0   0.1   0:00.73 vndservicemanager /dev/vndbinder
  709 system       20   0  12G 5.7M 4.9M S  0.0   0.1   0:03.45 hwservicemanager
  703 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fts_workqueue]
  702 system       20   0  12G 4.8M 4.1M S  0.0   0.1   0:03.78 servicemanager
  699 lmkd         -2   0  12G 7.2M 6.0M S  0.0   0.1   0:01.73 lmkd
  689 logd         30  10  12G 6.5M 4.2M S  0.0   0.1   0:20.11 logd
  684 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/82-arm-smmu]
  683 root         20   0    0    0    0 S  0.0   0.0   0:00.07 [smcinvoke_objec]
  681 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/81-arm-smmu]
  680 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [smcinvoke_shmbr]
  675 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/80-arm-smmu]
  674 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cfg80211]
  673 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [qcrypto_seq_res]
  672 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/79-arm-smmu]
  630 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/78-arm-smmu]
  627 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [uaudio_svc]
  595 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/77-arm-smmu]
  589 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/76-arm-smmu]
  587 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/75-arm-smmu]
  574 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/172-pm-adc-]
  573 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/204-tsens-c]
  572 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/74-arm-smmu]
  566 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/203-soc:ext]
  564 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/136-tsens-u]
  563 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/73-arm-smmu]
  562 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/44-q6v5 wdo]
  561 media        20   0  12G 4.5M 4.4M S  0.0   0.1   0:00.27 audioadsprpcd audiopd
  560 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/196-soc:ext]
  559 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/72-arm-smmu]
  558 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/35-q6v5 wdo]
  557 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/187-i2c_pmi]
  549 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/34-q6v5 wdo]
  548 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/71-arm-smmu]
  545 root          0 -20    0    0    0 I  0.0   0.0   0:22.54 [kworker/2:2H-kblockd]
  544 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/70-arm-smmu]
  543 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/173-qcom,te]
  542 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/69-arm-smmu]
  537 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/68-arm-smmu]
  535 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/135-limits_]
  526 root         RT   0    0    0    0 S  0.0   0.0  14:07.82 [irq/45-1b8e300.]
  525 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/135-limits_]
  524 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/67-arm-smmu]
  523 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/66-arm-smmu]
  522 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/65-arm-smmu]
  521 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bwmon_wq]
  497 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [memlat_wq]
  496 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rq_stats]
  495 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pdr_notifier_wq]
  492 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pdr_notifier_wq]
  466 root          0 -20    0    0    0 I  0.0   0.0   0:23.29 [kworker/3:1H-kblockd]
  439 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [msm_perf:events]
  437 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [cdsprm-wq-delay]
  428 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cdsprm-wq]
  426 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/50-arm-smmu]
  419 root          0 -20    0    0    0 I  0.0   0.0   0:23.29 [kworker/0:1H-kblockd]
  413 root          0 -20    0    0    0 I  0.0   0.0   0:24.60 [kworker/1:1H-kblockd]
  343 prng_seeder  20   0  12G 2.5M 2.5M S  0.0   0.0   0:00.01 prng_seeder
  325 root         20   0  12G 7.1M 5.8M S  0.0   0.1   1:33.66 ueventd
  323 root         20   0  12G 6.5M 5.7M S  0.0   0.1   0:00.19 init subcontext u:r:vendor_init:s0 14
  321 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  320 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  319 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  318 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  317 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  316 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  315 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  314 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  313 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  312 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  311 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  310 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  309 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  308 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  307 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  306 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  305 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  304 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  301 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
  300 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
  299 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  298 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  297 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  296 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  295 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  294 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  293 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  292 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
  291 root         20   0    0    0    0 S  0.0   0.0   0:00.02 [f2fs_gc-259:44]
  290 root         20   0    0    0    0 S  0.0   0.0   0:00.05 [f2fs_discard-25]
  289 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [f2fs_flush-259:]
  288 root         20   0    0    0    0 S  0.0   0.0   0:00.01 [f2fs_ckpt-259:4]
  286 root          0 -20    0    0    0 I  0.0   0.0   0:13.52 [kworker/4:1H-kblockd]
  284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mmc_complete]
  283 root         RT   0    0    0    0 S  0.0   0.0   0:00.20 [irq/36-mmc0]
  282 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sdhci]
  281 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/38-mmc1]
  280 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sdhci]
  279 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sdhci_msm_gener]
  278 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/39-4784000.]
  277 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [sdhci_msm_gener]
  276 root         RT   0    0    0    0 S  0.0   0.0   0:03.08 [irq/37-4744000.]
  275 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/64-arm-smmu]
  274 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/62-arm-smmu]
  273 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/61-arm-smmu]
  272 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/60-arm-smmu]
  271 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/59-arm-smmu]
  270 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [core_ctl]
  269 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [hwrng]
  268 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [qseecom-unload-]
  267 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [qseecom-unreg-l]
  266 root         RT   0    0    0    0 S  0.0   0.0   0:00.05 [halt_drain_rqs]
  265 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ngd_master]
  263 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [pdr_notifier_wq]
  236 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/33-glink-na]
  235 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [glink_rpm-glink]
  234 root         20   0    0    0    0 S  0.0   0.0   0:00.45 [qrtr_ns]
  225 root         30  10    0    0    0 S  0.0   0.0   0:00.21 [qcom,system-unc]
  224 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/43-smp2p_5]
  223 root         30  10    0    0    0 S  0.0   0.0   0:00.11 [qcom,system-poo]
  222 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/42-smp2p_2]
  221 root         RT   0    0    0    0 S  0.0   0.0   0:00.49 [msm-watchdog]
  220 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/41-smp2p_1]
  211 root         20   0    0    0    0 S  0.0   0.0   0:00.21 [kworker/4:2+events]
  178 root         10 -10    0    0    0 S  0.0   0.0   0:00.00 [krfcommd]
  177 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ipv6_addrconf]
  175 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mld]
  174 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dm_bufio_cache]
  173 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [uas]
  172 root         39  19    0    0    0 S  0.0   0.0   0:01.91 [dmabuf-deferred]
  168 root         20   0    0    0    0 S  0.0   0.0   0:02.66 [kswapd0]
  141 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [watchdogd]
  140 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [devfreq_wq]
  139 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [edac-poller]
  138 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [blkcg_punt_bio]
  137 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kblockd]
   85 root         20   0    0    0    0 S  0.0   0.0   0:00.62 [kcompactd0]
   84 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [writeback]
   83 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [oom_reaper]
   82 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [khungtaskd]
   81 root         20   0    0    0    0 S  0.0   0.0   0:00.12 [kauditd]
   73 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [inet_frag_wq]
   72 root         20   0    0    0    0 S  0.0   0.0   0:39.46 [rcuop/7]
   69 root         20   0    0    0    0 S  0.0   0.0   0:02.26 [ksoftirqd/7]
   68 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/7]
   67 root         RT   0    0    0    0 S  0.0   0.0   0:00.11 [migration/7]
   66 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/7]
   65 root         20   0    0    0    0 S  0.0   0.0   0:40.22 [rcuop/6]
   62 root         20   0    0    0    0 S  0.0   0.0   0:02.25 [ksoftirqd/6]
   61 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/6]
   60 root         RT   0    0    0    0 S  0.0   0.0   0:00.13 [migration/6]
   59 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/6]
   58 root         20   0    0    0    0 S  0.0   0.0   0:43.41 [rcuop/5]
   55 root         20   0    0    0    0 S  0.0   0.0   0:02.36 [ksoftirqd/5]
   54 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/5]
   53 root         RT   0    0    0    0 S  0.0   0.0   0:00.08 [migration/5]
   52 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/5]
   51 root         20   0    0    0    0 S  0.0   0.0   0:42.48 [rcuop/4]
   50 root         20   0    0    0    0 S  0.0   0.0   4:12.13 [rcuog/4]
   47 root         20   0    0    0    0 S  0.0   0.0   0:02.10 [ksoftirqd/4]
   46 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/4]
   45 root         RT   0    0    0    0 S  0.0   0.0   0:00.09 [migration/4]
   44 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/4]
   43 root         20   0    0    0    0 S  0.0   0.0   1:00.83 [rcuop/3]
   40 root         20   0    0    0    0 S  0.0   0.0   0:36.48 [ksoftirqd/3]
   39 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/3]
   38 root         RT   0    0    0    0 S  0.0   0.0   0:00.35 [migration/3]
   37 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/3]
   36 root         20   0    0    0    0 S  0.0   0.0   1:04.48 [rcuop/2]
   33 root         20   0    0    0    0 S  0.0   0.0   0:18.24 [ksoftirqd/2]
   32 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/2]
   31 root         RT   0    0    0    0 S  0.0   0.0   0:00.35 [migration/2]
   30 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/2]
   29 root         20   0    0    0    0 S  0.0   0.0   1:05.44 [rcuop/1]
   26 root         20   0    0    0    0 S  0.0   0.0   0:04.41 [ksoftirqd/1]
   25 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/1]
   24 root         RT   0    0    0    0 S  0.0   0.0   0:00.21 [migration/1]
   23 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/1]
   22 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp/0]
   20 root         RT   0    0    0    0 S  0.0   0.0   0:00.20 [migration/0]
   19 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcu_exp_par_gp_]
   18 root         -2   0    0    0    0 S  0.0   0.0   0:00.87 [rcu_exp_gp_kthr]
   17 root         -2   0    0    0    0 S  0.0   0.0   0:00.00 [rcuc/0]
   16 root         -2   0    0    0    0 S  0.0   0.0   0:00.03 [rcub/0]
   15 root         20   0    0    0    0 S  0.0   0.0   1:09.79 [rcuop/0]
   14 root         20   0    0    0    0 S  0.0   0.0   6:26.06 [rcuog/0]
   13 root         -2   0    0    0    0 I  0.0   0.0   7:06.77 [rcu_preempt]
   12 root         20   0    0    0    0 S  0.0   0.0   0:16.29 [ksoftirqd/0]
   11 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcu_tasks_trace]
   10 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [rcu_tasks_kthre]
    8 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mm_percpu_wq]
    4 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [netns]
    3 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [rcu_gp]
    2 root         20   0    0    0    0 S  0.0   0.0   0:00.25 [kthreadd]
    1 root         20   0  12G  10M 7.8M S  0.0   0.2   0:22.14 init second_stage
